gain,power_out,gain_dBW,power_out_dBW,gain_numerik,power_out_numerik,waktu
-167.09375,-1051.1626352,-167.09375,-1651.1626352,0.1540736938211039,0.0008692281096829582,2024-07-04 00:00:00
-165.265625,-1051.19765299,-165.265625,-1651.19765299,0.15900550630445692,0.0008678622642009873,2024-07-04 00:07:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 00:14:00
-166.578125,-1051.07909668,-166.578125,-1651.07909668,0.1557034472392585,0.0008699260213914045,2024-07-04 00:21:00
-163.890625,-1051.17198673,-163.890625,-1651.17198673,0.16140235183457066,0.0008690600250462303,2024-07-04 00:28:00
-164.046875,-1051.3552939,-164.046875,-1651.3552939,0.1633407805453371,0.0008677573683953726,2024-07-04 00:35:00
-167.078125,-1051.15789453,-167.078125,-1651.15789453,0.15559167279353336,0.0008699124919740504,2024-07-04 00:42:00
-160.84375,-1051.13327392,-160.84375,-1651.13327392,0.17311600575110903,0.0008698448421992316,2024-07-04 00:49:00
-165.828125,-1051.18069433,-165.828125,-1651.18069433,0.15724897641077867,0.0008695161402356381,2024-07-04 00:56:00
-163.84375,-1051.21273553,-163.84375,-1651.21273553,0.1661462564401053,0.000869540968279478,2024-07-04 01:03:00
-163.671875,-1051.28214144,-163.671875,-1651.28214144,0.1643935545692816,0.0008682169747118431,2024-07-04 01:10:00
-164.53125,-1051.12232074,-164.53125,-1651.12232074,0.16411512258387245,0.0008703956169972495,2024-07-04 01:17:00
-163.28125,-1051.24060305,-163.28125,-1651.2406030500001,0.16855281434228148,0.0008681752908600763,2024-07-04 01:24:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 01:31:00
-162.671875,-1051.15751863,-162.671875,-1651.15751863,0.1695981890672998,0.0008694410090799305,2024-07-04 01:38:00
-159.046875,-1051.09053421,-159.046875,-1651.09053421,0.18354479658199951,0.0008697894466744666,2024-07-04 01:45:00
-159.8125,-1051.13111988,-159.8125,-1651.13111988,0.1800146971828412,0.0008697079290743692,2024-07-04 01:52:00
-159.015625,-1051.22278438,-159.015625,-1651.2227843800001,0.1840630516414723,0.0008686965002223998,2024-07-04 01:59:00
-161.453125,-1051.15899294,-161.453125,-1651.15899294,0.1788141722441148,0.0008688759998278283,2024-07-04 02:06:00
-159.34375,-1051.09468566,-159.34375,-1651.09468566,0.1815235157896577,0.0008681017415146431,2024-07-04 02:13:00
-161.296875,-1051.13923118,-161.296875,-1651.13923118,0.1741093528693344,0.0008701916253729029,2024-07-04 02:20:00
-161.125,-1051.0385477,-161.125,-1651.0385477,0.17594342702167326,0.0008711885897036841,2024-07-04 02:27:00
-162.328125,-1051.20371666,-162.328125,-1651.20371666,0.17251985184869423,0.0008678251781359141,2024-07-04 02:34:00
-162.578125,-1051.07889402,-162.578125,-1651.07889402,0.1707750234788768,0.0008697223639814707,2024-07-04 02:41:00
-163.15625,-1051.14418701,-163.15625,-1651.14418701,0.1689796670251131,0.0008694466810453783,2024-07-04 02:48:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 02:55:00
-159.59375,-1051.17251226,-159.59375,-1651.17251226,0.17338430223484658,0.0008690308904180026,2024-07-04 03:02:00
-157.46875,-1051.14077297,-157.46875,-1651.14077297,0.17852122397264047,0.0008682672523391186,2024-07-04 03:09:00
-159.15625,-1051.13953236,-159.15625,-1651.13953236,0.1724904725280494,0.0008689475455266927,2024-07-04 03:16:00
-159.796875,-1051.14420421,-159.796875,-1651.14420421,0.1714504254533354,0.0008693660765669434,2024-07-04 03:23:00
-159.71875,-1051.20119355,-159.71875,-1651.20119355,0.17009823508135877,0.0008692437307721798,2024-07-04 03:30:00
-164.703125,-1051.21613007,-164.703125,-1651.21613007,0.15851640254497237,0.0008682509408733076,2024-07-04 03:37:00
-162.859375,-1051.1933012,-162.859375,-1651.1933012,0.16158166646281036,0.00086930148619549,2024-07-04 03:44:00
-159.328125,-1051.0920976,-159.328125,-1651.0920976,0.16816883488481066,0.0008701574182141007,2024-07-04 03:51:00
-161.8125,-1051.0554941,-161.8125,-1651.0554941,0.1619369363795081,0.0008709505048066543,2024-07-04 03:58:00
-162.203125,-1051.09331175,-162.203125,-1651.09331175,0.1608413860783939,0.0008705714997580661,2024-07-04 04:05:00
-162.796875,-1051.22909339,-162.796875,-1651.22909339,0.15881186984625414,0.0008695040707548292,2024-07-04 04:12:00
-164.40625,-1051.210399,-164.40625,-1651.210399,0.15300162841524284,0.0008677493067925916,2024-07-04 04:19:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 04:26:00
-154.265625,-1051.23942185,-154.265625,-1651.2394218499999,0.25720984522772866,0.000867381523007817,2024-07-04 04:33:00
-157.171875,-1051.21632859,-157.171875,-1651.21632859,0.1918402579096819,0.0008675700798928398,2024-07-04 04:40:00
-164.9375,-1051.10480182,-164.9375,-1651.10480182,0.15153263463201244,0.0008699579807650285,2024-07-04 04:47:00
-160.5625,-1051.25634359,-160.5625,-1651.25634359,0.16311825518758552,0.0008687085060623059,2024-07-04 04:54:00
-159.921875,-1051.21346424,-159.921875,-1651.21346424,0.16548804669451234,0.0008682095814367057,2024-07-04 05:01:00
-166.171875,-1051.20408138,-166.171875,-1651.20408138,0.14966340165683437,0.0008691111360196739,2024-07-04 05:08:00
-164.4375,-1051.180044,-164.4375,-1651.180044,0.15464564091999322,0.000868249859936185,2024-07-04 05:15:00
-163.046875,-1051.18689414,-163.046875,-1651.18689414,0.15927616881716414,0.0008686185641071281,2024-07-04 05:22:00
-159.765625,-1051.19161123,-159.765625,-1651.19161123,0.1677060922616352,0.0008689198430407671,2024-07-04 05:29:00
-158.59375,-1051.44722829,-158.59375,-1651.44722829,0.16873026197956492,0.000865589095337453,2024-07-04 05:36:00
-163.796875,-1051.20157574,-163.796875,-1651.20157574,0.15586099899106604,0.0008693533074259065,2024-07-04 05:43:00
-112.515625,-1051.0638349,-112.515625,-1651.0638349,0.5934819149844197,0.0008694717451760594,2024-07-04 05:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 05:57:00
-43.921875,-1051.19153016,-43.921875,-1651.19153016,10.483171962650005,0.0008687122000465736,2024-07-04 06:04:00
-75.125,-1051.26134238,-75.125,-1651.26134238,2.718781951168014,0.0008670291747673256,2024-07-04 06:11:00
-137.078125,-1051.17407218,-137.078125,-1651.17407218,0.2661649401729931,0.0008686441284002448,2024-07-04 06:18:00
-152.71875,-1051.1374422,-152.71875,-1651.1374422,0.1855756367603531,0.0008690790500060453,2024-07-04 06:25:00
-159.703125,-1051.15816091,-159.703125,-1651.15816091,0.16550688438172878,0.0008686257224278878,2024-07-04 06:32:00
-165.0,-1051.1669542500001,-165.0,-1651.1669542500001,0.15103424865805065,0.0008681450716846105,2024-07-04 06:39:00
-166.078125,-1051.23548177,-166.078125,-1651.23548177,0.1474736781865546,0.0008681272792453056,2024-07-04 06:46:00
