waktu,gain,power,gain(dBW),power (dBW),gain (numerik),power (numerik),sum gain (numerik),sum power (numerik),sum gain (dB),sum power (dB)
09:50.2,9.1875,-43.57058824,9.1875,-73.57058824,8.293732045,4.39482E-08,,,,
09:50.2,9.0625,-48.40909091,9.0625,-78.40909091,8.058421878,1.44242E-08,,,,
09:50.2,9.640625,-47.6,9.640625,-77.6,9.205820446,1.7378E-08,,,,
09:50.2,9.25,-44.5,9.25,-74.5,8.413951416,3.54813E-08,,,,
09:50.2,10.5,-45.71,10.5,-75.71,11.22018454,2.68534E-08,,,,
09:50.2,10.609375,-41.87615385,10.609375,-71.87615385,11.50634787,6.49209E-08,,,,
09:50.2,10.5,-37.91333333,10.5,-67.91333333,11.22018454,1.61684E-07,,,,
09:50.2,9.484375,-41.24285714,9.484375,-71.24285714,8.880501664,7.51129E-08,,,,
09:50.2,10.03125,-37.758,10.03125,-67.758,10.07221529,1.67571E-07,,,,
09:43.2,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
09:43.2,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
09:43.2,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
09:43.2,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
09:43.2,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
09:43.2,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
09:43.2,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
09:43.2,12.4375,-49.15263158,12.4375,-79.15263158,17.52871178,1.21545E-08,,,,
09:43.2,11.28125,-48.54285714,11.28125,-78.54285714,13.43151496,1.39867E-08,,,,
02:22.3,17.078125,-38.05333333,17.078125,-68.05333333,51.02846448,1.56555E-07,,,,
02:22.3,9.6875,-41.04857143,9.6875,-71.04857143,9.305720409,7.85494E-08,,,,
02:15.3,8.96875,-43.53529412,8.96875,-73.53529412,7.886330981,4.43068E-08,,,,
02:15.3,8.4375,-48.41363636,8.4375,-78.41363636,6.978305849,1.44091E-08,,,,
02:15.3,9.03125,-47.59307692,9.03125,-77.59307692,8.000644989,1.74057E-08,,,,
02:15.3,8.953125,-44.5,8.953125,-74.5,7.858008604,3.54813E-08,,,,
02:15.3,9.90625,-45.755,9.90625,-75.755,9.786445908,2.65766E-08,,,,
02:15.3,11.453125,-41.87615385,11.453125,-71.87615385,13.9737349,6.49209E-08,,,,
02:15.3,10.703125,-37.92,10.703125,-67.92,11.75743266,1.61436E-07,,,,
02:15.3,9.625,-41.25,9.625,-71.25,9.172759354,7.49894E-08,,,,
02:15.3,10.03125,-37.758,10.03125,-67.758,10.07221529,1.67571E-07,,,,
02:08.3,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
02:08.3,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
02:08.3,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
02:08.3,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
02:08.3,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
02:08.3,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
02:08.3,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
02:08.3,11.953125,-49.17894737,11.953125,-79.17894737,15.67878844,1.20811E-08,,,,
02:08.3,10.75,-48.56666667,10.75,-78.56666667,11.88502227,1.39102E-08,,,,
54:47.3,17.421875,-38.05333333,17.421875,-68.05333333,55.23158417,1.56555E-07,,,,
54:47.3,9.34375,-41.04214286,9.34375,-71.04214286,8.597555737,7.86658E-08,,,,
54:40.3,8.375,-43.52352941,8.375,-73.52352941,6.878599123,4.4427E-08,,,,
54:40.3,8.234375,-48.45454545,8.234375,-78.45454545,6.659436774,1.4274E-08,,,,
54:40.3,8.8125,-47.56538462,8.8125,-77.56538462,7.607640819,1.75171E-08,,,,
54:40.3,8.328125,-44.5,8.328125,-74.5,6.804755104,3.54813E-08,,,,
54:40.3,9.75,-45.785,9.75,-75.785,9.440608763,2.63937E-08,,,,
54:40.3,11.03125,-41.86769231,11.03125,-71.86769231,12.68016778,6.50475E-08,,,,
54:40.3,10.625,-37.91333333,10.625,-67.91333333,11.54781985,1.61684E-07,,,,
54:40.3,9.15625,-41.25714286,9.15625,-71.25714286,8.234268041,7.48662E-08,,,,
54:40.3,9.890625,-37.758,9.890625,-67.758,9.751299601,1.67571E-07,,,,
54:33.3,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
54:33.3,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
54:33.3,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
54:33.3,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
54:33.3,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
54:33.3,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
54:33.3,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
54:33.3,11.609375,-49.15263158,11.609375,-79.15263158,14.48563374,1.21545E-08,,,,
54:33.3,10.4375,-48.54761905,10.4375,-78.54761905,11.05986943,1.39713E-08,,,,
47:12.3,17.5,-38.05333333,17.5,-68.05333333,56.23413252,1.56555E-07,,,,
47:12.3,9.40625,-41.04857143,9.40625,-71.04857143,8.722179097,7.85494E-08,,,,
47:05.3,8.453125,-43.52941176,8.453125,-73.52941176,7.00345754,4.43669E-08,,,,
47:05.3,8.34375,-48.38181818,8.34375,-78.38181818,6.829281272,1.4515E-08,,,,
47:05.3,8.953125,-47.55846154,8.953125,-77.55846154,7.858008604,1.7545E-08,,,,
47:05.3,8.46875,-44.5,8.46875,-74.5,7.028699885,3.54813E-08,,,,
47:05.3,9.828125,-45.79,9.828125,-75.79,9.611972066,2.63633E-08,,,,
47:05.3,10.53125,-41.84230769,10.53125,-71.84230769,11.30121143,6.54288E-08,,,,
47:05.3,10.421875,-37.91333333,10.421875,-67.91333333,11.02014985,1.61684E-07,,,,
47:05.3,9.234375,-41.26428571,9.234375,-71.26428571,8.383734183,7.47432E-08,,,,
47:05.3,10,-37.758,10,-67.758,10,1.67571E-07,,,,
46:58.3,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
46:58.3,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
46:58.3,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
46:58.3,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
46:58.3,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
46:58.3,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
46:58.3,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
46:58.3,11.828125,-49.16315789,11.828125,-79.16315789,15.23394909,1.21251E-08,,,,
46:58.3,10.625,-48.55238095,10.625,-78.55238095,11.54781985,1.3956E-08,,,,
40:04.0,17.578125,-38.08,17.578125,-68.08,57.25487884,1.55597E-07,,,,
40:04.0,9.25,-41.055,9.25,-71.055,8.413951416,7.84332E-08,,,,
39:57.0,8.484375,-43.54705882,8.484375,-73.54705882,7.05403321,4.4187E-08,,,,
39:57.0,8.203125,-48.40909091,8.203125,-78.40909091,6.611690262,1.44242E-08,,,,
39:57.0,8.78125,-47.57230769,8.78125,-77.57230769,7.55309592,1.74892E-08,,,,
39:57.0,8.390625,-44.5,8.390625,-74.5,6.903391445,3.54813E-08,,,,
39:57.0,9.65625,-45.775,9.65625,-75.775,9.2390007,2.64545E-08,,,,
39:57.0,11.078125,-41.87615385,11.078125,-71.87615385,12.81777076,6.49209E-08,,,,
39:57.0,10.421875,-37.92666667,10.421875,-67.92666667,11.02014985,1.61188E-07,,,,
39:57.0,9.84375,-41.26428571,9.84375,-71.26428571,9.646616199,7.47432E-08,,,,
39:57.0,9.84375,-37.746,9.84375,-67.746,9.646616199,1.68035E-07,,,,
39:50.0,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
39:50.0,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
39:50.0,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
39:50.0,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
39:50.0,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
39:50.0,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
39:50.0,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
39:50.0,11.765625,-49.14736842,11.765625,-79.14736842,15.01628492,1.21692E-08,,,,
39:50.0,10.546875,-48.58095238,10.546875,-78.58095238,11.34194404,1.38645E-08,,,,
32:18.1,17.640625,-38.05333333,17.640625,-68.05333333,58.08480023,1.56555E-07,,,,
32:18.1,9.40625,-41.04857143,9.40625,-71.04857143,8.722179097,7.85494E-08,,,,
32:11.1,8.265625,-43.53529412,8.265625,-73.53529412,6.707528088,4.43068E-08,,,,
32:11.1,8.609375,-48.39090909,8.609375,-78.39090909,7.260014699,1.44847E-08,,,,
32:11.1,9.234375,-47.6,9.234375,-77.6,8.383734183,1.7378E-08,,,,
32:11.1,8.28125,-44.47923077,8.28125,-74.47923077,6.731703824,3.56514E-08,,,,
32:11.1,10.09375,-45.75,10.09375,-75.75,10.21821414,2.66073E-08,,,,
32:11.1,10.96875,-41.85923077,10.96875,-71.85923077,12.49899229,6.51744E-08,,,,
32:11.1,10.53125,-37.89375,10.53125,-67.89375,11.30121143,1.62415E-07,,,,
32:11.1,9.484375,-41.24285714,9.484375,-71.24285714,8.880501664,7.51129E-08,,,,
32:11.1,9.84375,-37.746,9.84375,-67.746,9.646616199,1.68035E-07,,,,
32:04.1,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
32:04.1,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
32:04.1,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
32:04.1,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
32:04.1,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
32:04.1,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
32:04.1,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
32:04.1,11.9375,-49.16315789,11.9375,-79.16315789,15.62248081,1.21251E-08,,,,
32:04.1,10.75,-48.55238095,10.75,-78.55238095,11.88502227,1.3956E-08,,,,
24:36.1,17.5,-38.06,17.5,-68.06,56.23413252,1.56315E-07,,,,
24:36.1,9.328125,-41.04857143,9.328125,-71.04857143,8.566679121,7.85494E-08,,,,
24:29.1,8.5,-43.52941176,8.5,-73.52941176,7.079457844,4.43669E-08,,,,
24:29.1,8.59375,-48.42727273,8.59375,-78.42727273,7.233941627,1.43639E-08,,,,
24:29.1,9.265625,-47.57230769,9.265625,-77.57230769,8.444277561,1.74892E-08,,,,
24:29.1,8.46875,-44.54615385,8.46875,-74.54615385,7.028699885,3.51063E-08,,,,
24:29.1,10.125,-45.77,10.125,-75.77,10.29200527,2.6485E-08,,,,
24:29.1,10.390625,-41.85076923,10.390625,-71.85076923,10.94113811,6.53015E-08,,,,
24:29.1,10.3125,-37.9,10.3125,-67.9,10.74607828,1.62181E-07,,,,
24:29.1,9.421875,-41.24285714,9.421875,-71.24285714,8.753616176,7.51129E-08,,,,
24:29.1,9.6875,-37.746,9.6875,-67.746,9.305720409,1.68035E-07,,,,
24:22.1,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
24:22.1,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
24:22.1,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
24:22.1,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
24:22.1,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
24:22.1,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
24:22.1,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
24:22.1,12.265625,-49.13157895,12.265625,-79.13157895,16.84854879,1.22136E-08,,,,
24:22.1,11.015625,-48.59047619,11.015625,-78.59047619,12.63462918,1.38341E-08,,,,
16:54.1,17.671875,-38.07333333,17.671875,-68.07333333,58.50426128,1.55836E-07,,,,
16:54.1,9.015625,-41.03571429,9.015625,-71.03571429,7.971912074,7.87823E-08,,,,
16:47.1,8.3125,-43.55882353,8.3125,-73.55882353,6.780317017,4.40674E-08,,,,
16:47.1,8.921875,-48.38636364,8.921875,-78.38636364,7.801668629,1.44999E-08,,,,
16:47.1,9.484375,-47.59307692,9.484375,-77.59307692,8.880501664,1.74057E-08,,,,
16:47.1,8.28125,-44.51538462,8.28125,-74.51538462,6.731703824,3.53559E-08,,,,
16:47.1,10.421875,-45.725,10.421875,-75.725,11.02014985,2.67609E-08,,,,
16:47.1,11.140625,-41.89307692,11.140625,-71.89307692,13.00356701,6.46684E-08,,,,
16:47.1,10.46875,-37.93333333,10.46875,-67.93333333,11.1397386,1.60941E-07,,,,
16:47.1,9.5625,-41.24285714,9.5625,-71.24285714,9.041698059,7.51129E-08,,,,
16:47.1,9.8125,-37.758,9.8125,-67.758,9.577452351,1.67571E-07,,,,
16:40.1,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
16:40.1,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
16:40.1,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
16:40.1,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
16:40.1,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
16:40.1,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
16:40.1,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
16:40.1,12.5,-49.13684211,12.5,-79.13684211,17.7827941,1.21988E-08,,,,
16:40.1,11.234375,-48.51904762,11.234375,-78.51904762,13.28732323,1.40636E-08,,,,
09:12.1,17.90625,-38.06666667,17.90625,-68.06666667,61.74829922,1.56075E-07,,,,
09:12.1,9.109375,-41.04857143,9.109375,-71.04857143,8.145870471,7.85494E-08,,,,
09:05.1,8.546875,-43.56470588,8.546875,-73.56470588,7.15628289,4.40078E-08,,,,
09:05.1,8.390625,-48.43636364,8.390625,-78.43636364,6.903391445,1.43339E-08,,,,
09:05.1,8.875,-47.60769231,8.875,-77.60769231,7.717915156,1.73473E-08,,,,
09:05.1,8.515625,-44.47923077,8.515625,-74.47923077,7.104974114,3.56514E-08,,,,
09:05.1,9.90625,-45.765,9.90625,-75.765,9.786445908,2.65155E-08,,,,
09:05.1,11.21875,-41.85923077,11.21875,-71.85923077,13.23960414,6.51744E-08,,,,
09:05.1,10.84375,-37.92,10.84375,-67.92,12.14437027,1.61436E-07,,,,
09:05.1,9.625,-41.23571429,9.625,-71.23571429,9.172759354,7.52365E-08,,,,
09:05.1,9.078125,-37.758,9.078125,-67.758,8.087466598,1.67571E-07,,,,
08:58.1,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
08:58.1,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
08:58.1,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
08:58.1,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
08:58.1,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
08:58.1,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
08:58.1,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
08:58.1,12,-49.13684211,12,-79.13684211,15.84893192,1.21988E-08,,,,
08:58.1,10.703125,-48.55714286,10.703125,-78.55714286,11.75743266,1.39407E-08,,,,
01:30.1,17.90625,-38.07333333,17.90625,-68.07333333,61.74829922,1.55836E-07,,,,
01:30.1,8.90625,-41.055,8.90625,-71.055,7.773650302,7.84332E-08,,,,
01:23.1,8.78125,-43.53529412,8.78125,-73.53529412,7.55309592,4.43068E-08,,,,
01:23.1,8.796875,-48.42272727,8.796875,-78.42272727,7.580319309,1.4379E-08,,,,
01:23.1,9.3125,-47.60769231,9.3125,-77.60769231,8.535913393,1.73473E-08,,,,
01:23.1,8.8125,-44.53076923,8.8125,-74.53076923,7.607640819,3.52308E-08,,,,
01:23.1,10.328125,-45.765,10.328125,-75.765,10.78481004,2.65155E-08,,,,
01:23.1,10.875,-41.86769231,10.875,-71.86769231,12.23207119,6.50475E-08,,,,
01:23.1,10.796875,-37.91333333,10.796875,-67.91333333,12.01399647,1.61684E-07,,,,
01:23.1,9.84375,-41.27857143,9.84375,-71.27857143,9.646616199,7.44977E-08,,,,
01:23.1,9.390625,-37.734,9.390625,-67.734,8.690854917,1.685E-07,,,,
01:16.1,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
01:16.1,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
01:16.1,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
01:16.1,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
01:16.1,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
01:16.1,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
01:16.1,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
01:16.1,12.3125,-49.16315789,12.3125,-79.16315789,17.03138632,1.21251E-08,,,,
01:16.1,11.09375,-48.55238095,11.09375,-78.55238095,12.86396945,1.3956E-08,,,,
53:48.1,17.671875,-38.04666667,17.671875,-68.04666667,58.50426128,1.56795E-07,,,,
53:48.1,9.03125,-41.06142857,9.03125,-71.06142857,8.000644989,7.83172E-08,,,,
53:41.1,8.765625,-43.54117647,8.765625,-73.54117647,7.525970298,4.42468E-08,,,,
53:41.1,8.5625,-48.39545455,8.5625,-78.39545455,7.182076058,1.44695E-08,,,,
53:41.1,9.171875,-47.58615385,9.171875,-77.58615385,8.263946558,1.74335E-08,,,,
53:41.1,8.765625,-44.52307692,8.765625,-74.52307692,7.525970298,3.52933E-08,,,,
53:41.1,10.015625,-45.76,10.015625,-75.76,10.03604269,2.65461E-08,,,,
53:41.1,11.6875,-41.85076923,11.6875,-71.85076923,14.74857293,6.53015E-08,,,,
53:41.1,11.171875,-37.94,11.171875,-67.94,13.09747264,1.60694E-07,,,,
53:41.1,9.578125,-41.25,9.578125,-71.25,9.074286771,7.49894E-08,,,,
53:41.1,9.171875,-37.728,9.171875,-67.728,8.263946558,1.68733E-07,,,,
53:34.1,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
53:34.1,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
53:34.1,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
53:34.1,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
53:34.1,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
53:34.1,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
53:34.1,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
53:34.1,12.015625,-49.15789474,12.015625,-79.15789474,15.90605574,1.21398E-08,,,,
53:34.1,10.75,-48.56666667,10.75,-78.56666667,11.88502227,1.39102E-08,,,,
46:06.1,17.734375,-38.06,17.734375,-68.06,59.35229272,1.56315E-07,,,,
46:06.1,8.78125,-41.02928571,8.78125,-71.02928571,7.55309592,7.8899E-08,,,,
45:59.1,8.296875,-43.52352941,8.296875,-73.52352941,6.755966696,4.4427E-08,,,,
45:59.1,9.03125,-48.40454545,9.03125,-78.40454545,8.000644989,1.44393E-08,,,,
45:59.1,9.65625,-47.59307692,9.65625,-77.59307692,9.2390007,1.74057E-08,,,,
45:59.1,8.328125,-44.53846154,8.328125,-74.53846154,6.804755104,3.51685E-08,,,,
45:59.1,10.578125,-45.75,10.578125,-75.75,11.42385021,2.66073E-08,,,,
45:59.1,10.75,-41.87615385,10.75,-71.87615385,11.88502227,6.49209E-08,,,,
45:59.1,10.484375,-37.91333333,10.484375,-67.91333333,11.17988921,1.61684E-07,,,,
45:59.1,10,-41.24285714,10,-71.24285714,10,7.51129E-08,,,,
45:59.1,9.21875,-37.752,9.21875,-67.752,8.35362547,1.67803E-07,,,,
45:52.1,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
45:52.1,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
45:52.1,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
45:52.1,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
45:52.1,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
45:52.1,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
45:52.1,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
45:52.1,12.734375,-49.12631579,12.734375,-79.12631579,18.76884294,1.22284E-08,,,,
45:52.1,11.53125,-48.55714286,11.53125,-78.55714286,14.22738225,1.39407E-08,,,,
38:24.1,17.40625,-38.06,17.40625,-68.06,55.03322961,1.56315E-07,,,,
38:24.1,8.90625,-41.04214286,8.90625,-71.04214286,7.773650302,7.86658E-08,,,,
38:17.1,8.984375,-43.54705882,8.984375,-73.54705882,7.914755439,4.4187E-08,,,,
38:17.1,8.375,-48.42272727,8.375,-78.42272727,6.878599123,1.4379E-08,,,,
38:17.1,8.9375,-47.59307692,8.9375,-77.59307692,7.829787942,1.74057E-08,,,,
38:17.1,8.984375,-44.51538462,8.984375,-74.51538462,7.914755439,3.53559E-08,,,,
38:17.1,9.875,-45.74,9.875,-75.74,9.716279516,2.66686E-08,,,,
38:17.1,10.46875,-41.85923077,10.46875,-71.85923077,11.1397386,6.51744E-08,,,,
38:17.1,10.140625,-37.92,10.140625,-67.92,10.32910043,1.61436E-07,,,,
38:17.1,9.4375,-41.22142857,9.4375,-71.22142857,8.785166564,7.54844E-08,,,,
38:17.1,9.125,-37.758,9.125,-67.758,8.175230379,1.67571E-07,,,,
38:10.1,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
38:10.1,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
38:10.1,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
38:10.1,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
38:10.1,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
38:10.1,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
38:10.1,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
38:10.1,12.078125,-49.17368421,12.078125,-79.17368421,16.13661733,1.20957E-08,,,,
38:10.1,10.78125,-48.58095238,10.78125,-78.58095238,11.9708503,1.38645E-08,,,,
30:42.2,17.4375,-38.06,17.4375,-68.06,55.43065366,1.56315E-07,,,,
30:42.2,8.640625,-41.07428571,8.640625,-71.07428571,7.312443104,7.80857E-08,,,,
30:35.2,8.9375,-43.55294118,8.9375,-73.55294118,7.829787942,4.41272E-08,,,,
30:35.2,8.21875,-48.44090909,8.21875,-78.44090909,6.635520573,1.43189E-08,,,,
30:35.2,8.796875,-47.61538462,8.796875,-77.61538462,7.580319309,1.73166E-08,,,,
30:35.2,8.921875,-44.50769231,8.921875,-74.50769231,7.801668629,3.54185E-08,,,,
30:35.2,9.703125,-45.735,9.703125,-75.735,9.339260729,2.66993E-08,,,,
30:35.2,10.875,-41.83384615,10.875,-71.83384615,12.23207119,6.55564E-08,,,,
30:35.2,10.375,-37.91333333,10.375,-67.91333333,10.90184492,1.61684E-07,,,,
30:35.2,9.578125,-41.23571429,9.578125,-71.23571429,9.074286771,7.52365E-08,,,,
30:35.2,9.140625,-37.782,9.140625,-67.782,8.204696109,1.66648E-07,,,,
30:28.2,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
30:28.2,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
30:28.2,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
30:28.2,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
30:28.2,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
30:28.2,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
30:28.2,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
30:28.2,11.734375,-49.18947368,11.734375,-79.18947368,14.90862188,1.20518E-08,,,,
30:28.2,10.53125,-48.57619048,10.53125,-78.57619048,11.30121143,1.38797E-08,,,,
23:00.2,17.296875,-38.06,17.296875,-68.06,53.66455099,1.56315E-07,,,,
23:00.2,8.953125,-41.04214286,8.953125,-71.04214286,7.858008604,7.86658E-08,,,,
22:53.2,8.53125,-43.55294118,8.53125,-73.55294118,7.130582353,4.41272E-08,,,,
22:53.2,8.109375,-48.41818182,8.109375,-78.41818182,6.470494911,1.4394E-08,,,,
22:53.2,8.6875,-47.57230769,8.6875,-77.57230769,7.391796466,1.74892E-08,,,,
22:53.2,8.546875,-44.5,8.546875,-74.5,7.15628289,3.54813E-08,,,,
22:53.2,9.609375,-45.74,9.609375,-75.74,9.139816995,2.66686E-08,,,,
22:53.2,10.484375,-41.85923077,10.484375,-71.85923077,11.17988921,6.51744E-08,,,,
22:53.2,10.125,-37.90666667,10.125,-67.90666667,10.29200527,1.61932E-07,,,,
22:53.2,9.734375,-41.24285714,9.734375,-71.24285714,9.406704469,7.51129E-08,,,,
22:53.2,9.578125,-37.74,9.578125,-67.74,9.074286771,1.68267E-07,,,,
22:46.2,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
22:46.2,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
